Должность,Работодатель,Дата публикации,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Бариста в кофейню (без опыта) | 120 000 рублей,Сфера,2025-10-22,80.0,120.0,5400.0,450.0,12.0,Нет опыта,ТК,"2/2, 3/1, 3/3, 5/2, 2/3",,"форма, бонус, бонусы, обучение, кофе","Напитки: от классики до авторских. Завтраки и бранчи. Выпечку собственного производства. Форматы: To-Go и Counter Service. Немного нетворкинга, коворкинга...",https://hh.ru/vacancy/126452362
Бариста в кафе,Цурио,2025-10-21,6.5,8.0,,,,Нет опыта,ТК,5/2,Еженедельно,"питание, форма, униформа, скидки, кофе","Тебе предстоит много общаться, рассказывать гостям про ассортимент и самые интересные новинки, ну и конечно же создавать атмосферу и готовить...",https://hh.ru/vacancy/126776069
Бариста,STARS COFFEE,2025-10-21,,,,,,Нет опыта,ТК,64/27,,"обучение, кофе",Готовить напитки и подавать наши супер-десерты. - Проводить оплату по кассовому аппарату. - Поддерживать дружелюбную атмосферу в кофейне и заряжать гостей...,https://hh.ru/vacancy/112334568
Продавец-бариста в сеть кофеен French Bakery,FRENCH BAKERY,2025-10-21,100.0,,,,,Нет опыта,ТК,"12/13, 5/2",,"премии, обучение, кофе",Работа за кассой( ПО IIko). Работа с кофемашиной (рожковая). Общение с гостями. Активные продажи продукции кафе. Приготовление напитков. Выкладка витрин. ,https://hh.ru/vacancy/126184382
Бариста в сетевую кофейню YesNoMilk,Саб-Сервис,2025-10-20,90.0,,,,,Нет опыта,ТК,"5/2, 6/1",Ежемесячно,"питание, бесплатное питание, форма, премии, обучение, кофе","...развитию и карьерному росту (<highlighttext>бариста</highlighttext> может участвовать в развитии меню напитков, стать старшим <highlighttext>бариста</highlighttext> или шеф-<highlighttext>бариста</highlighttext>, участвовать в чемпионатах).",https://hh.ru/vacancy/126309030
Бариста в кофейню Lintu,Кофейня Lintu,2025-10-20,64.0,115.0,5160.0,430.0,12.0,Нет опыта,ТК,"5/2, 2/2, 4/3, 3/3, 3/2, 6/1",,"бонус, кофе",Кормим и предоставляем кофейную классику в течение всей твоей смены.,https://hh.ru/vacancy/125842729
"Бариста-бармен в ресторан ""Вадваре""",Краденый Артишок,2025-10-21,100.0,,,,,От 1 года до 3 лет,ТК,4/2,,"питание, бесплатное питание, кофе","Приготовление кофейных и авторских напитков по техкарте, — Работа с алкоголем (в том числе с шейкером), — Участие в создании домашних сиропов и заготовок, — Работа с кассой (iiko — при необходимости обучим), — Подготовка рабочего места к открытию и закрытию, — Поддержание чистоты и порядка на рабочем месте. Что предлагаем: — Работа на кофемашине La Marzocco KB90, — Возможность совершенствовать навыки латте-арта в спокойной обстановке, — Поддержка в развитии слабых сторон — технически и творчески, — Мобильность внутри команды: при желании можно перейти на кассу или в зал.",https://hh.ru/vacancy/126107980
"Тренер-бариста/специалист по чаю, кофе (Москва, Московская область)",Старый Мастер,2025-10-20,100.0,,,,,От 1 года до 3 лет,ТК,5/2,,"бонус, бонусы, скидки, проезд, кофе, чай","Проведение обучающих программ: Разработка и проведение тренингов для бариста и персонала клиентов (как на нашей площадке, так и с выездом). Технический эксперт: Диагностика, обслуживание и настройка профессионального кофейного оборудования на точках клиентов. Презентации и продвижение: Проведение совместных с менеджерами по продажам дегустаций и презентаций продукции для ключевых клиентов. Участие в отраслевых мероприятиях: Представление компании на выставках, чемпионатах и корпоративных событиях. Аналитика и отчетность: Ведение регулярной отчетности по проведенным мероприятиям и эффективности обучающих программ. Мы ожидаем от кандидата: Опыт работы тренером в кофейной индустрии от 1 года. Подтвержденные знания в области кофе (наличие сертификатов SCA или аналогичных будет значительным преимуществом). Практический опыт настройки и обслуживания различного кофейного оборудования. Навыки систематизации работы и грамотной подготовки отчетной документации. Клиентоориентированность и развитые коммуникативные навыки. Готовность к командировкам и гибкий график в рамках рабочих задач. Знания в области чайного направления приветствуются. Профессиональные и личные качества: Стремление к профессиональному развитию и глубокому погружению в кофейную тематику. Проактивная позиция, нацеленность на достижение измеримых результатов. Ответственность и самостоятельность. Умение работать в команде и выстраивать долгосрочные партнерские отношения с клиентами.",https://hh.ru/vacancy/126725579
Начинающий Бариста,Клепиков Сергей Михайлович,2025-10-20,74.0,91.0,,,,Нет опыта,ТК,64/27,Еженедельно,"форма, обучение",Приготовление напитков. Поддержание чистоты за баром.,https://hh.ru/vacancy/126426029
Бариста,Yumbaker,2025-10-21,91.5,113.5,5700.0,475.0,'8-12,От 1 года до 3 лет,ТК,"4/3, 8/12",,"питание, обучение, кофе","варить действительно вкусный кофе, вываривать из каждого сорта зерна максимум вкуса, делиться своими открытиями и эмоциями с нашими гостями и помогать им погружаться в кофейный мир, поддерживать порядок и чистоту на своем рабочем месте, развиваться самому и помогать команде становиться еще лучше.",https://hh.ru/vacancy/126179747
